Annual_Income,Declared_Tax,Deduction_Risk,Expense_Anomaly,Investment_Mismatch,Cash_Transaction_Risk,Business_Loss_Risk,Asset_Underreporting,Refund_Claim_Risk,Compliance_Risk,Income_Variation,Previous_Audit_Flag,Penalty_History,High_Value_Transactions,Foreign_Asset_Score,GST_Mismatch,Suspicious_Deduction,Shell_Company_Link,Frequent_ITR_Revisions,Cash_Deposit_Spike,High_Risk_Industry,Fraud
2995513,236414,98,19,52,53,5,64,55,34,92,0,1,3,33,1,1,1,1,0,1,1
1665689,261812,86,98,43,40,5,40,84,82,17,1,0,26,44,0,1,1,0,1,0,1
268148,861238,71,62,31,88,29,88,94,74,21,0,1,88,62,1,0,0,1,0,1,1
2025665,309958,91,89,27,80,0,94,57,74,35,1,0,26,12,1,0,1,0,0,1,1
2945683,599507,22,11,38,37,62,43,51,26,52,1,0,99,24,0,1,0,1,1,0,0
3597723,972150,67,61,31,99,7,44,60,1,99,1,0,46,43,0,1,1,1,1,0,1
3203758,175956,13,93,76,35,27,68,16,53,71,0,0,59,96,1,0,1,1,1,1,1
4256518,362489,62,91,78,82,88,94,90,71,2,1,0,35,73,1,0,1,0,0,1,1
2869995,262134,92,90,17,43,32,50,29,97,61,1,0,45,23,0,0,0,0,1,0,1
4650812,367232,64,41,69,56,52,64,71,83,28,0,1,60,68,1,0,0,0,0,1,1
4998669,860754,67,82,10,65,37,53,36,86,72,0,1,41,73,1,0,0,1,1,1,1
2070928,26650,62,68,31,80,51,55,4,78,7,0,0,6,46,1,1,0,0,1,1,1
4355299,361386,95,57,19,29,77,93,25,47,93,1,1,29,90,1,1,1,1,0,0,1
2757489,931694,96,4,96,9,10,81,69,76,75,1,1,49,49,1,0,1,1,0,1,1
1973415,829628,89,26,39,98,1,71,79,94,45,0,1,46,35,0,1,0,1,0,0,1
2505413,175521,80,27,7,60,52,89,0,48,91,1,1,92,32,1,1,1,0,0,1,1
4110197,175733,86,25,34,62,93,39,8,77,55,1,0,39,91,1,1,1,0,0,1,1
471836,821141,63,90,68,35,93,57,84,0,48,0,1,4,2,1,1,1,0,0,1,0
3784702,247037,31,48,98,53,67,14,70,90,42,1,1,69,30,0,1,0,1,1,0,1
2295505,85428,78,20,77,96,76,18,63,32,9,1,1,57,59,0,0,0,0,1,0,1
2499435,211251,12,0,20,64,6,9,78,34,12,0,0,43,28,0,0,1,1,0,0,0
396769,539231,65,91,23,81,66,87,23,53,56,0,0,70,43,0,1,0,1,0,0,1
2858505,703600,18,57,16,3,8,15,4,55,1,1,1,31,44,0,0,0,0,1,1,0
1471741,443976,23,78,17,54,77,42,50,14,64,1,1,78,41,0,1,1,1,1,0,0
3969315,26042,87,54,97,53,62,30,37,68,85,0,1,76,20,1,1,0,1,0,1,1
1246797,782130,10,80,11,90,10,15,28,3,96,0,1,81,31,1,0,1,1,0,0,1
3247262,835326,58,25,15,88,36,79,45,83,79,0,1,73,27,1,1,0,0,1,1,1
1784398,929373,85,83,3,63,13,27,51,63,41,0,0,39,84,0,0,0,1,0,1,1
2785031,983582,14,24,88,91,18,61,45,21,57,0,0,56,46,0,1,1,1,1,1,1
764685,323903,9,76,33,21,7,19,74,23,92,0,1,10,98,0,1,0,0,0,0,0
3079190,373117,40,32,91,24,6,34,67,46,9,0,1,39,93,0,1,0,0,0,1,0
1511736,835738,26,88,45,80,58,58,58,74,62,0,1,46,46,0,0,1,1,1,0,1
1207293,899801,59,71,74,58,62,8,9,5,70,1,0,1,16,0,0,0,0,0,0,0
4974183,715731,72,68,76,56,6,9,97,26,60,0,0,90,28,1,1,0,0,1,1,1
3566612,681278,51,5,30,53,54,44,3,9,0,0,1,51,47,0,0,1,1,1,0,0
223247,819811,27,22,24,43,2,81,51,38,25,0,0,71,1,1,1,1,1,0,0,0
2904238,387811,64,29,73,51,66,14,73,73,4,1,1,48,32,0,0,1,1,0,1,0
2830708,506691,16,77,23,75,17,29,96,89,34,1,0,58,62,0,1,1,0,1,0,1
3694679,219304,94,53,64,15,44,47,17,36,12,0,0,37,67,0,1,1,0,1,0,0
1967640,401178,43,86,24,15,96,95,75,53,26,0,0,15,38,1,1,1,1,1,0,0
2813740,674211,9,10,27,80,91,39,50,96,11,1,0,87,88,1,0,1,1,1,1,0
1485160,909058,62,30,35,54,35,90,22,50,93,0,0,86,4,1,1,1,0,0,0,1
1625472,443963,92,5,81,60,15,90,24,59,49,1,0,77,67,1,0,0,1,0,1,1
248984,916612,81,10,5,94,78,82,59,71,95,0,1,26,51,0,0,0,1,1,1,1
2600070,319493,46,76,65,78,28,73,36,50,58,0,1,73,51,1,0,1,0,1,0,1
3465879,206904,37,11,66,76,58,43,67,61,30,1,1,27,28,1,0,0,0,1,1,0
1704384,716716,69,65,71,39,17,45,76,48,68,1,1,88,36,0,0,1,1,1,1,1
2430919,675105,75,52,94,90,48,5,17,50,36,1,1,65,7,0,1,1,1,1,0,1
1952126,10730,52,98,47,20,45,23,28,27,1,1,1,44,19,0,1,0,1,1,0,0
4530634,412137,77,35,82,65,82,72,29,35,70,1,1,32,40,1,0,1,0,1,0,1
1937095,758790,43,16,69,7,28,90,91,24,64,1,1,59,69,1,0,0,1,1,1,0
2311138,207210,73,27,77,70,69,6,6,35,2,1,1,49,35,1,1,1,1,0,0,0
4980450,743471,53,91,66,9,49,5,87,76,19,1,0,45,31,0,1,1,0,0,0,0
2309818,24023,19,21,47,56,54,32,40,59,1,1,1,34,4,0,0,0,0,1,1,0
2431785,967853,78,6,64,3,26,84,73,6,41,0,1,40,19,0,0,1,0,1,0,0
4683302,656084,30,14,43,42,6,37,36,64,42,0,0,57,67,0,0,1,0,0,0,0
3148089,872965,6,95,93,99,90,43,26,72,20,0,1,76,21,1,0,0,0,1,0,1
2925928,350430,57,10,62,98,82,16,20,91,44,0,1,54,96,0,1,1,1,1,1,1
4053339,833411,9,23,45,62,80,30,99,35,95,0,0,4,30,0,1,1,0,1,0,0
2043400,814269,9,66,18,42,40,36,42,93,19,1,0,4,40,0,0,0,1,1,1,0
1279111,413213,38,29,63,66,10,10,50,72,42,0,0,21,92,0,0,1,0,0,1,0
1196107,896407,27,69,82,81,4,91,92,29,49,0,1,33,4,1,0,1,1,1,0,1
3721441,705399,29,65,72,50,65,4,70,98,94,0,1,64,9,0,0,0,0,0,0,1
4745583,525610,36,60,70,55,55,63,12,46,42,1,1,58,74,0,1,1,0,0,0,1
2070230,25923,66,77,49,42,11,75,52,90,96,1,1,16,36,1,0,1,0,0,0,1
3947389,800308,42,40,62,23,41,2,86,28,23,1,1,50,55,0,1,1,1,0,1,0
4342807,852405,78,81,40,95,74,55,62,4,81,0,1,48,85,1,0,1,1,0,0,1
4883874,401103,84,50,6,33,9,62,56,64,83,0,1,8,23,0,1,1,0,0,1,1
3802279,199795,51,43,8,58,27,37,24,68,59,0,1,73,84,0,0,0,1,0,0,1
2321690,833854,55,94,3,1,6,53,12,62,31,0,1,14,99,1,0,0,1,1,0,0
3191650,238462,75,12,88,1,13,1,36,92,4,0,1,28,15,0,1,1,1,0,1,0
691234,56413,67,89,48,9,76,89,29,55,1,0,0,52,1,1,1,1,0,0,1,1
2148260,893916,8,11,75,22,68,1,89,16,25,1,1,24,14,0,1,1,0,0,1,0
4533486,925345,91,81,5,14,60,11,11,50,24,1,0,84,40,1,0,1,0,1,0,0
1721101,260719,22,8,81,75,50,39,64,36,49,1,1,80,62,1,1,0,1,1,0,1
4578368,558044,62,84,20,16,41,1,17,87,85,1,0,90,48,1,0,1,1,1,0,1
4608324,338720,60,47,14,81,7,79,84,90,38,0,1,27,25,1,0,0,1,1,1,1
3336729,647536,39,48,66,13,49,93,61,8,85,0,1,22,93,0,1,1,0,0,1,0
1097421,277448,43,52,65,80,0,56,23,37,74,0,0,99,65,1,1,1,0,0,1,1
322409,559629,85,55,55,78,68,46,59,52,10,0,0,2,28,0,1,1,1,1,1,1
2216716,927262,23,39,67,75,10,35,16,12,62,0,0,32,69,0,0,1,0,1,0,0
2550770,415226,50,23,31,15,47,3,59,89,67,0,0,70,59,0,0,1,1,1,1,0
969598,132039,57,97,65,31,9,74,8,52,96,0,0,68,64,0,0,1,0,1,0,1
3467824,721118,89,71,28,22,14,23,51,74,17,0,0,89,39,1,1,0,1,1,1,1
3531068,692018,93,32,65,33,46,81,91,87,94,1,1,16,10,1,1,0,0,0,0,1
3456415,185074,32,22,33,97,92,90,14,96,27,0,1,80,51,0,0,0,1,1,0,1
1074371,763678,15,76,26,15,24,61,76,48,41,1,0,66,86,1,1,1,0,0,0,0
3032868,661735,21,53,59,33,5,1,27,69,59,0,1,66,89,1,0,1,1,0,0,0
4072998,628773,56,52,38,70,10,14,80,34,21,0,1,33,94,0,1,0,0,0,0,0
1173548,813524,61,48,43,32,16,74,8,15,39,1,0,7,78,0,1,0,1,1,0,0
3544014,136562,81,77,81,67,14,90,55,12,61,0,1,44,72,0,1,0,1,1,0,1
1413475,8729,70,77,35,42,15,48,84,10,2,0,1,59,63,1,0,1,1,0,1,0
3670495,666334,89,79,18,63,55,86,93,86,70,1,0,55,97,0,1,1,0,1,1,1
3159034,647510,71,48,90,70,65,34,74,1,62,0,0,69,80,1,0,1,0,1,1,1
4774293,352360,69,59,44,17,35,93,93,93,19,1,1,21,98,0,0,0,0,1,1,1
243585,613148,29,89,83,67,82,46,35,18,70,0,1,32,99,1,0,1,1,1,1,1
3257213,263360,22,89,20,60,37,23,55,44,70,0,0,49,2,1,0,1,1,1,1,1
2739448,364014,31,64,22,74,84,82,88,45,92,1,0,70,10,1,1,0,0,1,0,1
309556,26398,85,31,93,19,74,59,70,46,25,0,1,82,27,0,0,0,1,0,0,1
1775557,301794,56,78,88,10,2,92,19,48,40,1,1,45,61,0,1,0,0,1,0,1
4227419,943796,8,20,94,78,97,76,54,78,2,0,0,51,47,1,0,1,1,1,0,1
4594539,633177,30,17,26,45,17,47,59,41,42,0,0,73,27,0,1,0,1,0,1,0
2323091,270303,70,93,97,63,78,22,34,32,16,1,1,86,45,1,0,1,0,0,1,1
2209021,365306,8,59,71,80,88,11,73,40,83,0,0,65,63,1,1,1,1,0,0,1
1401482,460982,12,12,18,97,53,40,98,68,97,1,0,20,54,1,0,1,1,1,1,0
742335,230959,57,23,40,75,78,28,0,85,52,0,1,23,82,1,0,1,1,1,1,1
3633977,632122,2,29,25,27,93,69,77,90,51,1,0,47,1,1,1,1,1,1,1,0
4470070,415281,34,1,27,47,16,50,44,98,32,1,0,12,95,1,1,0,1,1,0,0
3760920,550926,96,82,63,34,81,22,68,18,79,1,0,63,74,1,1,0,1,0,0,1
2684413,792505,20,24,67,7,94,30,39,38,59,1,0,4,15,1,1,0,1,1,1,0
3107360,444727,63,49,94,90,81,20,37,6,86,0,0,17,10,0,0,0,0,0,1,1
2982592,744667,94,13,79,21,98,23,97,38,67,1,0,74,2,0,1,1,0,1,1,1
2435000,523490,51,5,50,23,12,71,23,97,55,0,1,36,54,0,0,0,1,0,0,1
4522252,761357,33,75,73,65,62,8,3,33,63,0,0,53,41,1,1,1,1,1,1,1
602690,558608,95,83,47,94,13,21,90,90,96,0,0,31,28,0,1,0,1,1,1,1
4893350,468092,34,86,9,85,58,3,68,43,7,1,1,27,68,1,0,1,1,1,0,0
2748421,39924,14,29,72,63,35,76,12,68,68,1,1,85,91,1,1,1,0,1,1,1
4416263,217792,95,29,38,64,17,97,20,67,32,0,1,44,30,0,1,1,1,1,0,1
4006618,438950,5,37,99,13,4,2,31,62,24,0,0,27,76,1,1,0,0,1,0,0
2154109,859548,84,57,99,24,13,27,37,70,70,0,1,64,24,0,1,1,0,0,0,1
4622880,700385,96,93,18,99,24,89,94,47,6,1,1,69,5,0,1,0,1,0,1,1
3312754,7159,31,40,63,99,43,97,31,2,58,1,1,74,59,0,1,1,0,0,1,1
1584250,578228,51,93,18,2,38,14,78,84,32,1,0,41,66,1,1,1,1,0,1,0
4225717,608724,82,56,75,4,11,7,56,33,40,0,1,32,21,0,1,1,0,1,0,0
261087,475192,96,35,61,64,60,47,47,8,32,1,0,15,40,1,1,0,0,0,1,0
1696176,543966,27,63,12,53,61,98,29,60,28,1,0,12,52,1,1,1,1,1,1,0
2086013,721435,94,97,24,18,52,87,70,19,38,1,1,20,59,1,0,0,0,1,0,1
4834096,445420,84,15,99,96,52,51,37,39,56,1,0,58,38,1,1,0,0,0,0,1
239353,410237,97,87,88,53,27,54,94,11,95,0,0,46,54,1,1,0,1,1,1,1
3560011,667132,63,77,91,93,34,36,43,27,92,0,0,38,95,1,1,1,0,0,0,1
4459622,596451,78,89,41,75,64,3,25,47,63,0,0,87,29,0,1,1,0,0,1,1
616880,770328,77,71,38,9,2,54,99,96,85,0,0,42,70,0,0,0,1,1,1,1
1013168,734115,18,13,29,97,42,11,89,73,65,1,1,26,88,1,1,0,0,0,1,0
425281,159536,14,30,4,15,49,18,1,74,8,0,0,36,1,0,1,1,1,0,0,0
3317697,580425,5,65,80,45,70,78,42,6,28,0,0,2,7,1,0,1,1,1,1,0
3982875,428448,72,67,17,28,8,56,42,81,96,0,0,75,62,0,1,1,1,0,0,1
3195765,852929,83,64,20,14,35,93,62,82,73,0,0,6,58,0,1,1,0,1,1,1
469536,506233,97,54,85,47,22,36,72,13,27,0,1,57,96,0,0,1,1,1,0,1
4572093,996528,37,83,49,10,87,75,57,80,52,1,1,19,27,0,0,0,0,0,0,1
1761729,629773,25,77,5,33,73,82,47,86,45,0,0,78,73,1,1,1,0,1,1,1
2422809,245970,81,39,49,35,49,97,4,18,38,1,0,64,37,0,1,0,0,1,1,1
881669,973952,91,24,79,29,54,6,90,53,75,1,1,73,17,0,1,1,1,0,0,1
4064822,634756,50,24,65,98,11,91,75,59,57,1,0,13,61,1,1,1,1,1,0,1
1319043,5901,72,2,0,72,82,54,34,66,85,0,0,78,76,1,1,1,0,0,1,1
3529462,92980,95,68,56,81,31,27,92,33,53,0,1,97,84,0,0,0,1,1,0,1
2406903,374738,52,25,29,18,23,92,15,88,5,1,1,48,96,0,1,0,1,0,1,0
1941093,481813,55,39,57,67,85,36,82,40,44,0,0,88,22,1,0,0,0,0,1,1
2758231,794313,58,37,51,69,66,83,48,30,39,1,1,94,64,0,0,0,1,1,1,1
4500385,297007,69,37,36,32,26,60,59,38,22,1,0,73,39,0,1,1,1,1,1,0
3280389,771722,77,67,47,95,60,74,50,77,97,0,0,36,59,1,1,1,0,0,1,1
1861909,403838,91,6,86,79,18,38,90,51,41,0,0,5,84,0,1,1,0,0,0,1
2856138,520956,57,93,0,74,72,22,81,46,37,1,0,5,4,1,0,1,0,0,0,0
310078,923882,87,29,18,21,50,51,58,19,15,0,1,27,98,1,0,1,1,0,0,0
2115631,481384,12,18,45,35,63,83,63,95,73,1,1,77,17,0,0,0,1,1,1,1
1604104,492063,42,34,66,22,76,83,12,96,46,1,1,12,37,1,1,1,0,1,1,1
2208187,731546,75,32,1,62,1,10,93,51,20,0,0,12,99,0,1,0,1,0,0,0
1859066,836633,50,32,55,25,35,65,25,94,73,1,1,9,28,0,0,0,1,1,0,1
4373125,256839,18,77,16,59,92,12,69,70,74,0,0,79,25,0,1,0,1,1,1,1
2348815,326395,20,37,91,94,10,76,2,61,20,0,1,38,59,0,0,0,1,0,0,1
4224066,601860,90,9,81,92,97,40,86,4,24,1,0,98,35,0,1,0,1,0,0,1
4706259,568543,82,56,96,4,67,48,11,56,60,0,0,78,81,1,1,0,1,0,0,1
4335314,592500,23,27,78,53,67,14,40,3,97,1,1,22,28,1,1,1,0,1,1,0
1110681,841642,25,77,21,37,63,55,78,10,53,0,0,36,30,1,0,1,0,1,0,0
1807618,392773,44,99,26,61,0,53,64,18,94,1,0,7,62,0,0,1,0,1,1,1
4096830,27499,27,37,54,24,88,30,62,83,90,1,1,89,12,1,1,1,1,0,1,1
4536787,631840,81,15,31,97,25,60,49,26,88,1,1,59,93,0,0,0,1,1,0,1
2955423,449844,99,20,59,11,10,57,46,28,59,0,0,85,70,0,0,1,0,1,0,1
2233350,590648,28,91,82,21,86,86,7,17,41,1,0,4,39,1,0,0,1,0,0,0
2511987,402819,16,96,27,8,1,59,30,36,60,1,0,97,69,1,1,0,1,0,0,1
4796200,491525,67,5,27,83,82,52,10,60,31,1,0,26,1,1,1,1,1,1,0,0
4871399,918898,43,40,73,28,92,85,16,46,52,0,1,18,7,0,1,0,1,1,0,1
271295,876905,60,14,83,43,39,60,26,88,43,1,1,42,73,0,0,1,0,1,1,1
943974,148704,92,2,24,92,3,79,94,19,10,1,0,42,42,1,0,1,1,1,1,0
3645376,690967,67,42,84,26,79,41,26,69,46,1,0,34,48,1,0,1,1,0,0,1
3812600,96873,73,46,77,54,36,28,77,99,89,0,0,83,21,0,0,1,1,1,0,1
1025816,70756,24,98,85,80,60,83,86,48,59,1,0,54,73,1,0,1,1,0,1,1
574705,445210,94,13,25,4,90,91,55,14,35,0,1,60,34,0,0,1,1,0,0,0
3917270,199454,66,65,74,51,4,26,68,17,59,0,1,46,18,0,1,1,0,0,0,1
2056926,992858,1,28,70,12,14,43,93,37,32,0,1,76,3,0,1,1,1,1,0,0
1858845,323488,88,3,16,41,86,92,97,88,96,0,1,55,18,0,1,0,0,0,1,1
2226793,451991,48,25,81,14,66,4,46,83,41,0,0,81,19,0,1,1,0,1,0,1
754594,405565,69,11,6,78,81,51,18,21,99,1,0,17,3,1,0,0,1,1,1,0
347718,862586,25,1,55,17,25,52,56,75,12,1,0,64,48,1,0,0,1,1,1,0
3704473,556752,71,16,63,49,5,51,30,59,13,0,1,95,25,1,0,1,1,1,1,1
2404664,440840,98,34,19,1,43,37,15,96,57,0,1,52,2,0,0,1,0,1,0,1
4541747,126897,26,9,37,86,57,43,44,92,39,1,1,88,51,1,1,1,1,0,0,1
1719163,525082,88,85,74,12,80,52,26,65,64,1,1,84,93,1,1,1,0,1,0,1
4767920,304488,17,42,57,67,45,1,60,25,4,1,0,90,35,1,1,1,0,1,0,0
886976,88791,53,20,15,46,41,53,25,63,29,0,0,10,40,0,1,0,1,1,1,0
2672189,684659,0,14,50,88,47,83,28,95,81,1,1,0,69,1,1,1,1,1,0,1
3341259,708335,60,34,26,74,26,76,43,57,44,1,1,82,50,1,0,1,1,0,0,1
317796,137534,2,84,50,49,19,89,28,2,57,0,0,95,90,0,0,0,1,1,0,1
1441082,911641,67,84,74,11,69,34,94,29,38,0,0,7,15,1,1,0,0,0,0,0
4314639,86441,40,84,15,12,34,45,1,18,11,1,0,18,46,1,1,0,0,1,1,0
2888130,881888,36,59,86,8,75,71,5,9,33,1,0,54,79,0,0,0,0,0,1,0
3874515,873220,50,43,59,58,47,91,8,88,13,0,0,15,45,1,1,0,0,0,1,1
1779159,242612,14,95,75,44,66,78,14,45,37,1,1,98,99,0,0,1,0,0,1,1
1107317,438797,7,4,39,69,67,54,83,18,15,1,0,65,54,1,0,1,1,1,1,0
2685367,236444,37,72,66,42,51,71,57,57,60,1,0,11,97,0,0,0,0,0,1,1
4715488,993793,82,17,1,73,67,10,1,84,58,1,1,92,87,0,1,0,1,1,0,1
868234,805607,55,20,47,22,3,28,2,5,74,1,0,73,38,0,1,1,0,0,0,0
578480,142263,46,71,51,78,38,68,51,50,96,0,0,61,5,0,0,0,0,1,1,1
991971,350578,89,97,23,44,20,62,54,13,78,1,1,85,83,1,0,0,0,0,1,1
701157,613806,9,73,92,22,65,46,52,57,73,1,1,97,60,0,0,0,1,1,1,1
4578727,740518,77,50,97,33,15,6,93,7,66,0,1,57,8,0,0,0,0,0,0,1
4324499,857969,48,40,83,15,6,63,71,1,10,1,1,20,84,1,0,1,0,0,1,0
2813501,907153,40,23,81,62,82,81,39,17,10,1,1,36,10,1,0,0,0,0,1,0
3121944,52645,82,23,77,50,96,63,84,85,15,0,1,4,93,1,0,0,0,1,0,1
4527576,244608,29,95,81,31,8,91,38,56,37,0,0,69,64,0,1,0,0,0,1,1
3283153,552571,4,96,1,37,16,11,42,93,29,1,0,31,90,1,0,0,0,0,0,0
2999487,521369,94,37,64,55,90,11,12,99,40,0,0,66,58,0,0,0,0,1,1,1
3104941,354115,70,43,19,68,96,35,36,91,0,1,0,9,69,1,1,1,0,1,0,0
2300021,884191,82,56,33,16,11,28,54,34,37,1,1,68,6,1,1,1,0,1,0,0
1560828,719483,30,58,40,85,56,10,31,65,97,0,1,87,60,1,0,1,0,0,0,1
818467,107780,51,33,40,38,44,52,13,55,59,0,1,83,56,0,1,1,1,0,0,1
2335619,428240,87,74,74,40,10,69,64,99,18,1,0,61,85,0,0,1,0,1,1,1
4155488,447846,97,94,90,47,12,84,26,81,97,1,1,36,33,0,0,0,0,0,1,1
4874351,822166,22,81,22,81,30,73,23,42,58,1,0,94,83,0,1,0,1,1,0,1
1907923,5515,47,22,37,27,76,95,21,72,99,0,1,46,44,0,0,1,0,0,1,1
328391,902214,39,85,43,76,25,46,77,91,67,0,0,80,44,0,1,1,0,1,0,1
1217026,858159,5,42,66,49,62,32,44,71,9,1,1,48,14,0,1,0,1,1,1,0
4501754,758160,37,81,61,0,30,80,7,7,16,1,1,23,8,0,1,1,1,0,1,0
2469042,900596,40,39,11,49,21,66,90,4,79,1,0,81,81,0,1,1,1,1,0,0
2183509,313360,99,46,29,18,5,42,66,12,84,1,1,25,45,0,0,1,1,1,1,0
316381,338977,26,40,94,97,19,17,63,6,91,1,1,54,45,0,0,1,1,1,1,1
1721701,588043,74,46,86,58,84,73,96,20,71,1,0,6,35,0,0,0,0,1,0,1
1820197,557144,68,19,64,67,9,52,46,92,28,1,0,77,45,1,0,1,0,1,1,1
2431660,513175,56,76,40,66,82,38,20,36,5,1,1,40,41,1,1,1,0,1,0,0
1978226,78870,16,64,19,40,34,71,31,44,93,1,1,1,29,1,1,1,0,0,0,0
1399386,946666,70,67,5,9,25,33,44,51,65,0,1,29,10,1,1,1,0,0,1,0
3638618,142080,90,23,74,27,70,36,43,47,62,0,1,80,32,0,1,0,1,0,1,1
2214484,799419,46,99,98,33,36,40,40,61,30,1,1,19,39,1,0,0,0,0,0,1
3137629,985036,78,35,3,38,7,96,95,77,24,1,1,55,69,1,1,0,0,0,0,1
2657184,101502,12,44,92,82,4,48,51,50,86,0,0,73,42,0,1,0,1,1,1,1
3343963,925836,10,1,9,55,43,9,87,3,20,0,1,23,38,0,1,1,0,1,0,0
4303022,595611,89,27,50,51,99,39,10,85,15,0,0,11,85,1,1,0,1,1,0,0
1618175,437206,85,25,92,99,91,17,84,55,3,0,0,90,38,1,1,1,0,1,1,1
4006688,801305,91,22,37,2,66,24,17,74,45,1,1,14,52,0,0,0,0,1,0,0
3972962,742902,23,78,0,22,71,40,10,33,7,1,0,72,82,1,0,0,1,0,0,0
4391423,483977,92,35,7,16,78,35,26,44,5,0,1,81,85,0,0,1,1,0,1,0
4241776,696804,72,90,80,70,90,1,42,15,52,1,0,47,30,1,1,1,1,0,0,1
2927423,433556,3,5,82,25,48,82,64,8,63,1,1,60,62,0,1,0,0,1,1,0
1960427,634507,45,34,62,17,35,73,53,79,90,1,0,70,24,0,1,0,0,1,0,1
4518427,534321,17,37,32,45,79,48,28,15,50,0,1,27,40,1,1,1,1,1,0,0
3651356,340468,42,34,14,69,25,66,20,94,99,0,0,99,49,1,0,1,1,0,1,1
1331565,807121,79,99,30,30,44,52,28,30,99,1,0,2,58,1,0,1,1,0,0,1
3644084,639044,32,73,20,92,60,18,8,12,62,0,0,15,48,0,1,1,0,0,1,0
3127109,485350,92,93,2,8,43,25,60,4,87,0,0,35,29,1,1,1,0,0,0,0
4572578,501232,9,52,65,34,3,53,61,46,5,0,0,3,44,0,0,1,1,0,0,0
2709079,493455,72,37,34,80,75,50,70,38,61,1,0,98,67,0,0,1,0,0,1,1
3087004,267210,58,92,40,59,80,24,94,17,32,1,1,8,52,1,0,1,0,0,1,0
